Time:5,MemFree,Buffers,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Dirty,Writeback,Mapped,Slab
646.36,2306744,5756,508528,254480,440452,180928,3332,73552,437120,0,0,364632,77136
651.27,2305628,5764,508544,255268,440476,181716,3332,73552,437144,24,0,364764,77196
657.12,2307464,5772,508640,252612,440564,179044,3332,73568,437232,28,0,364732,77272
662.06,305256,2005780,508640,254128,440568,180556,3332,73572,437236,4,0,364792,77268
666.94,2307544,5780,508648,252268,440572,178692,3332,73576,437240,48,0,364732,77188
671.82,2305752,5788,508652,254360,440576,180776,3332,73584,437244,40,0,364636,77152
676.73,2304760,5796,508652,255160,440576,181568,3332,73592,437244,36,0,364696,77208
681.59,2306868,5804,508656,253240,440580,179640,3332,73600,437248,8,0,364628,77276
686.46,2305752,5816,508660,254264,440584,180652,3332,73612,437252,8,0,364724,77044
691.38,2307464,5824,508664,252452,440588,178832,3332,73620,437256,44,0,364756,77224
